"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Modeling of shift hydraulic system for automatic transmission","G. Tao; T. Zhang; H. Chen","School of Mechanical Engineering, Beijing Institute of Technology, Beijing, China; School of Mechanical Engineering, Beijing Institute of Technology, Beijing, China; School of Mechanical Engineering, Beijing Institute of Technology, Beijing, China","2011 International Conference on Consumer Electronics, Communications and Networks (CECNet)","16 May 2011","2011","","","474","477","The main functions of the shift hydraulic system for stepped automatic transmission are to generate and maintain desired clutch pressures for shifting operation, as well as to initiate gear shifts and control shift quality. It consists of supply line pressure regulation system, solenoid valve, pressure control valve (PCV), and wet clutch. This paper presents a dynamic model of the shift control system and conducts simulation based on AMESim software. The simulation model is then validated against experimental data. Because the model derived is complex, highly nonlinear and high order, which is not suitable for use in controller, the model simplification is carried out based on an energy-based model order reduction method. The results confirm that simulation analysis with AMESim can predict hydraulic system dynamic response accurately and the model simplification is instructive for controller design.","","978-1-61284-459-6","10.1109/CECNET.2011.5768674","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=5768674","shift hydraulic system;AMESim simulation;modeling simplificaiton;activity index","Valves;Mathematical model;Solenoids;Pressure control;Pistons;Indexes","clutches;dynamic response;gears;hydraulic systems;mechanical engineering computing;power transmission (mechanical);pressure control;quality control;solenoids;valves","shift hydraulic system;stepped automatic transmission;clutch pressures;gear shifts;shift quality control;supply line pressure regulation system;solenoid valve;pressure control valve;wet clutch;AMESim software;energy-based model order reduction;dynamic response;controller design","","5","","5","","16 May 2011","","","IEEE","IEEE Conferences"
"Dynamic behavior of operating crew in complex systems","M. Azarkhil; A. Mosleh","Center for Risk and Reliability, Department of Mechanical Engineering, University of Maryland, College Park MD 20742 USA; Center for Risk and Reliability, Department of Mechanical Engineering, University of Maryland, College Park MD 20742 USA","2014 Reliability and Maintainability Symposium","17 Apr 2014","2014","","","1","7","Individuals working as a team introduce team related issues such as interpersonal coordination, supervision, time, and task management which are influenced by nontechnical, cognitive and social skills of team members. In control room of complex systems and under high task load situations, teams of operators are solely responsible for the ultimate decision making and control; but incomplete information, little time, stressful conditions and lack of mutual awareness can lead to critical human errors and the aggregate impact of such errors inside communication loops can give rise to complicated failure modes. This research develops a method to explicitly model the operating crew as an interactive social unit and investigates the dynamic behavior of the team under upset situations through a simulation method. The ultimate goal is to study the effects of team factors and team dynamics on the risk of the complex system with the main focus being on team errors, associated causes and error management inside the team and the impact of such factors on team performance. Information sharing, distribution, and collection, building of shared mental models, team decision making and combined action execution by the operating crew are being systematically modeled and examined. An object based modeling methodology is applied to represent system elements and different roles and behaviors of the members of the operating team. The proposed team model is an extended version of an existing cognitive model of individual operator behavior known as IDAC (Information, Decision, and Action in Crew context) (Chang et al, 2007). Scenario generation follows typical DPRA (Dynamic Probabilistic Risk Assessment) methodologies. The method capabilities are demonstrated through building and simulating a simplified model of a steam/power generating plant. Different configurations of team characteristics and influencing factors have been simulated and the performance is compared based on observing parameters of interest. These parameters include the quality of leadership, the quality of verbal and device-based communications from both individual and team perspectives, various team and organizational factors and the individual characteristics of each of operators. The mechanism of effect of each major category of contributing factors has been modeled and causal maps were developed to calculate the probability of failure of basic human functions dynamically and by using a number of lower level influencing factors driven from the existing literature. The effects of team factors and team dynamics on system risk and their impact on team performance have been studied through large number of simulation runs. The results are also compared with several theoretical models and empirical studies. As part of the analysis, the contributing factors have been modified over their qualitative spectrum, from one extreme level to another in order to see if the model generates intuitively anticipated results. We also developed CREWSIM, a customized library in MATLAB Simulink environment which facilitates the modeling process for similar applications of the methodology.","0149-144X","978-1-4799-2848-4","10.1109/RAMS.2014.6798446","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=6798446","Human Reliability;Object-based Modeling;Simulation;Dynamic PRA","Mathematical model;Data models;Context modeling;Load modeling;Context;Reliability;Predictive models","business data processing;decision making;digital simulation;failure analysis;human factors;human resource management;object-oriented methods;risk management;team working","operating crew dynamic behavior;complex systems control room;team working;interpersonal coordination;supervision;task management;operating teams;human errors;interactive social unit;team factors;team dynamics;team errors;error management;team performance;information sharing;information distribution;information collection;shared mental model building;team decision making;object based modeling;individual operator behavior cognitive model;IDAC;information-decision-action in crew context;dynamic probabilistic risk assessment;steam generating plant model;power generating plant model;leadership quality;verbal communications quality;device-based communications quality;organizational factors;causal maps;human function failure probability;system risk;qualitative spectrum;CREWSIM;MATLAB Simulink","","","","15","","17 Apr 2014","","","IEEE","IEEE Conferences"
"A simplified model based supercritical power plant controller","W. Shinohara; D. E. Koditschek","Res. & Dev. Center, Toshiba Corp., Kawasaki, Japan; NA","Proceedings of 35th IEEE Conference on Decision and Control","6 Aug 2002","1996","4","","4486","4491 vol.4","We present a simplified state-space model of a once-through supercritical boiler turbine power plant. This phenomenological model has been developed from a greatly simplified application of the first principles of physical laws. When we fit our model to a far more complex and physically accurate simulation model commissioned by EPRI for operator training, we find that the input-output responses are surprisingly close. Encouraged by this initial success, we describe some initial steps toward a design method for supercritical boiler control suggested by the geometric structure arising from the simplified model. Preliminary simulation results suggest that this approach may offer a closed loop response considerably improved relative to that achieved by the linear controllers presently in place in typical industrial settings.","0191-2216","0-7803-3590-2","10.1109/CDC.1996.577567","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=577567","","Power generation;Turbines;Boilers;Solid modeling;Chemical industry;Fluid dynamics;Furnaces;Design methodology;Fuel processing industries;Industrial control","boilers;steam turbines;modelling;nonlinear control systems;state-space methods;closed loop systems;dynamics;steam power stations","supercritical power plant controller;boiler turbine power plant;state-space model;input-output responses;closed loop response;fossil fuel power plants;EPRI;dynamics;nonlinear controller","","1","","7","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Toward an integrated framework for multidimensional and multi-scale simulation of agro-ecosystem","M. Belem; M. Dandjinou; J. Ouattara; M. Saqalli; C. Fürst","Université Nazi Boni,Bobo-Dioulasso,Burkina Faso; Université Nazi Boni,Bobo-Dioulasso,Burkina Faso; Université Nazi Boni,Bobo-Dioulasso,Burkina Faso; UMR 5602 GEODE Géographie de l'Environnement, CNRS Université Toulouse,Toulouse,France; Martin Luther University,Dept. Sustainable Landscape Development,Halle,Germany","2019 4th World Conference on Complex Systems (WCCS)","12 Dec 2019","2019","","","1","6","This paper provides the description of the first step of development of an integrated platform for agro-ecosystem simulation. Specifically, this study intends to provide a framework for an explicit representation of social, economic, biophysical and political dimensions of agricultural at different scales of analysis using the component-based simulation approach. First, a meta-model for model integration has been proposed. Secondly a conceptual model for agro-ecosystem representation has been proposed. Based on that and the meta-model, an integrated framework for models integration has been developed using a component-based simulation approach. The OpenMi Java based SDK has been extended to develop the integrated framework. Mimosa scheduler for models simulations has been used to develop the scheduler of the integrated framework. Finally, an integrated framework for agro-ecosystem simulation has been developed. Unlike most integrated platform, the present framework is not restrict to one scale and context. The proposed approach avoids aggregation and disaggregation of information between scales which cause loss of information as in most agriculture models. A case study shows the effectiveness of the framework to simulate the agro-ecosystem of West-Africa at different scales.","","978-1-7281-1232-9","10.1109/ICoCS.2019.8930741","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=8930741","Integrated Assessment Modeling;Component-based simulation;Multi-scale;Agro-ecosystem","Biological system modeling;Unified modeling language;Economics;Context modeling;Soil;Meteorology;Agriculture","agriculture;ecology;environmental science computing","multiscale simulation;integrated platform;agro-ecosystem simulation;component-based simulation approach;meta-model;model integration;agro-ecosystem representation;agriculture models","","","","18","","12 Dec 2019","","","IEEE","IEEE Conferences"
"Partial paradigm hiding and reusability in hybrid simulation modeling using the frameworks Health-DS and i7-AnyEnergy","A. Djanatliev; P. Bazan; R. German","Computer Networks and Communication Systems, University of Erlangen-Nuremberg, Martensstrasse 3, D-91058, GERMANY; Computer Networks and Communication Systems, University of Erlangen-Nuremberg, Martensstrasse 3, D-91058, GERMANY; Computer Networks and Communication Systems, University of Erlangen-Nuremberg, Martensstrasse 3, D-91058, GERMANY","Proceedings of the Winter Simulation Conference 2014","26 Jan 2015","2014","","","1723","1734","Many complex real-world problems which are difficult to understand can be solved by discrete or continuous simulation techniques, such as Discrete-Event-Simulation, Agent-Based-Simulation or System Dynamics. In recently published literature, various multilevel and large-scale hybrid simulation examples have been presented that combine different approaches in common environments. Many studies using this technique in interdisciplinary projects have the problem of a different model understanding. In this case, paradigm hiding can help in domain-oriented communication with non-technical experts avoiding unnecessary paradigm discussions. Another problem is that already solved problems are often not reusable in future scenarios and have to be modeled and validated in similar studies from the scratch. This paper presents selected concepts that can help to build domain specific frameworks with reusable components in AnyLogic 7 and depicts two examples; HealthDS for prospective healthcare decision support and i7-AnyEnergy that can be used for building innovative energy scenarios.","1558-4305","978-1-4799-7486-3","10.1109/WSC.2014.7020022","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=7020022","","Adaptation models;Load modeling;Data models;Abstracts;Medical services;Buildings;Computational modeling","digital simulation","partial paradigm hiding;partial paradigm reusability;hybrid simulation modeling;Health-DS framework;i7-AnyEnergy framework;discrete event simulation;agent based simulation;system dynamics;discrete simulation technique;continuous simulation technique;AnyLogic 7","","2","","20","","26 Jan 2015","","","IEEE","IEEE Conferences"
"Complex mathematical models simulation on mixed HDL-simulink platform","A. Milik; A. Pulka","Institute of Electronics, Silesian University of Technology, Gliwice, Poland; Institute of Electronics, Silesian University of Technology, Gliwice, Poland","2008 Conference on Human System Interactions","29 Jul 2008","2008","","","380","385","The paper concerns the problem of verification of the complex abstract models in the simulation environment. The models with huge number of computation efforts have been considered. We have pointed out that simulation of such models in dasiapure HDLpsila is very difficult and costly; it requires from designer many additional skills and is time-consuming. Instead, we have proposed an alternative approach based on mixed HDL-Simulink platform. Basic properties of the simulation process in Simulink are addressed. The problems of data and signal transfers, driving samples, synchronization and entire communication between HDL and Simulink are described in details. Some simulation examples and conclusions concerning the methodology are presented.","2158-2254","978-1-4244-1542-7","10.1109/HSI.2008.4581468","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=4581468","Embedded Systems;Hw/Sw Co-design;System Level Design;Modeling and Simulation","HARDWARE DESIGN LANGUAGES;Synchronization;Mathematical model;Integrated circuit modeling;Hardware;Data models;Computational modeling","hardware description languages;hardware-software codesign","complex mathematical models simulation;HDL;hardware description languages;Simulink;hardware-software codesign","","1","","14","","29 Jul 2008","","","IEEE","IEEE Conferences"
"Configuration of a standoff detection system via rapid, model-based systems engineering","S. L. Rosen; C. P. Saunders; M. Tierney; S. K. Guharay","The MITRE Corporation, McLean, VA 22102, USA; The MITRE Corporation, McLean, VA 22102, USA; The MITRE Corporation, McLean, VA 22102, USA; The MITRE Corporation, McLean, VA 22102, USA","2013 8th International Conference on System of Systems Engineering","8 Aug 2013","2013","","","52","57","This paper presents a model-based systems engineering approach developed for rapid analysis of complex systems, not requiring the use of high computational resources. The basis of the approach involves the mapping of three basic systems engineering metrics, namely, Measures of Performance (MOP) to Measures of Effectiveness (MOE) to a single Figure of Merit (FOM), through metamodeling. Through this approach, analysts can leverage validated metamodels to map system measures, from component level MOPs to the overall system FOM in real-time to support decisions under constrained time-frames. Through metamodeling we achieve approximations of the simulation model in mathematical form, which alleviates long run times and the need for large computational resources. The metamodels also provide an effective means to aggregate a simulation's multiple outputs of interest via a preference function. These two approaches together form the foundation of this rapid, model-based systems engineering approach. The effectiveness of this model-based approach is demonstrated on configuring a standoff detection system.","","978-1-4673-5597-1","10.1109/SYSoSE.2013.6575242","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=6575242","Quantitative Systems Engineering;Simulation Metamodeling;Simulation Optimization;Preference Modeling Introduction","Analytical models;Metamodeling;Mathematical model;Computational modeling;Security","checkpointing;formal specification;large-scale systems;security of data;systems analysis","standoff detection system configuration;rapid model-based systems engineering;rapid complex system analysis;computational resource;systems engineering metrics;Measures of Performance;Measures of Effectiveness;MOE;Figure of Merit;FOM;metamodeling;component level MOP;decision support;constrained time-frame;preference function;checkpoint system;security","","2","","13","","8 Aug 2013","","","IEEE","IEEE Conferences"
"Cardiac Electrical Modeling for Closed-Loop Validation of Implantable Devices","W. Ai; N. D. Patel; P. S. Roop; A. Malik; M. L. Trew","Department of Electrical and Computer Engineering, University of Auckland, Auckland, New Zealand; Department of Electrical and Computer EngineeringUniversity of Auckland; Department of Electrical and Computer EngineeringUniversity of Auckland; Department of Electrical and Computer EngineeringUniversity of Auckland; Auckland Bioengineering InstituteUniversity of Auckland","IEEE Transactions on Biomedical Engineering","20 Jan 2020","2020","67","2","536","544","Objective: Evaluating and testing cardiac electrical devices in a closed-physiologic-loop can help design safety, but this is rarely practical or comprehensive. Furthermore, in silico closed-loop testing with biophysical computer models cannot meet the requirements of time-critical cardiac device systems, while simplified models meeting time-critical requirements may not have the necessary dynamic features. We propose a new high-level (abstracted) physiologically-based computational heart model that is time-critical and dynamic. Methods: The model comprises cardiac regional cellular-electrophysiology types connected by a path model along a conduction network. The regional electrophysiology and paths are modeled with hybrid automata that capture non-linear dynamics, such as action potential and conduction velocity restitution and overdrive suppression. The hierarchy of pacemaker functions is incorporated to generate sinus rhythms, while abnormal automaticity can be introduced to form a variety of arrhythmias such as escape ectopic rhythms. Model parameters are calibrated using experimental data and prior model simulations. Conclusion: Regional electrophysiology and paths in the model match human action potentials, dynamic behavior, and cardiac activation sequences. Connected in closed loop with a pacing device in DDD mode, the model generates complex arrhythmia such as atrioventricular nodal reentry tachycardia. Such device-induced outcomes have been observed clinically and we can establish the key physiological features of the heart model that influence the device operation. Significance: These findings demonstrate how an abstract heart model can be used for device validation and to design personalized treatment.","1558-2531","","10.1109/TBME.2019.2917212","Faculty Research Development Fund; Fondation Leducq; ","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=8716571","Atrioventricular nodal reentry tachycardia (AVNRT);implantable cardiac device;  $in\; silico$   closed-loop validation;heart modeling;hybrid automaton","Biological system modeling;Pacemakers;Computational modeling;Action potentials;Avalanche photodiodes;Heart beat","bioelectric phenomena;bioelectric potentials;biomechanics;closed loop systems;diseases;electrocardiography;medical control systems;medical signal processing;pacemakers","cardiac electrical devices;in silico closed-loop testing;ectopic rhythms;conduction velocity restitution;action potential;nonlinear dynamics;electrophysiology;conduction network;cardiac regional cellular-electrophysiology types;computational heart model;time-critical requirements;time-critical cardiac device systems;biophysical computer models;closed-physiologic-loop;implantable devices;closed-loop validation;cardiac electrical modeling;heart model;device operation;pacing device;cardiac activation sequences;dynamic behavior;human action potentials","Action Potentials;Cardiac Electrophysiology;Computer Simulation;Humans;Models, Cardiovascular;Pacemaker, Artificial;Reproducibility of Results;Tachycardia, Atrioventricular Nodal Reentry","1","","51","IEEE","16 May 2019","","","IEEE","IEEE Journals"
"Modeling a SCR-based protection structure for RF-ESD co-design simulations","A. Romanescu; P. Ferrari; J. Arnould; P. Fonteneau; C. Legrand","Institute of Microelectronics, Electromagnetism and Photonics (IMEP-LAHC), UMR 5130 CNRS, Grenoble INP, UJF, Univ. of Savoy, BP257, 3 parvis Louis Neel 38016, France; Institute of Microelectronics, Electromagnetism and Photonics (IMEP-LAHC), UMR 5130 CNRS, Grenoble INP, UJF, Univ. of Savoy, BP257, 3 parvis Louis Neel 38016, France; Institute of Microelectronics, Electromagnetism and Photonics (IMEP-LAHC), UMR 5130 CNRS, Grenoble INP, UJF, Univ. of Savoy, BP257, 3 parvis Louis Neel 38016, France; ST Microelectronics, 850 rue Jean Monnet, 38926 Crolles, France; ST Microelectronics, 850 rue Jean Monnet, 38926 Crolles, France","2011 IEEE MTT-S International Microwave Symposium","4 Aug 2011","2011","","","1","4","Electrostatic discharge protection is a must in every integrated circuit. At microwave frequencies, the influence the protection devices have over the circuit they protect can significantly impact the functioning of the latter. A model for the SCR (silicon controlled rectifier - one of the most efficient ESD protection devices) and the ESD protection diode was developed. Its purpose is to estimate this influence at frequencies up to 65 GHz. A complex device, the DTSCR (diode triggered SCR) is used to demonstrate the consistency of the SCR and diode models.","0149-645X","978-1-61284-757-3","10.1109/MWSYM.2011.5972792","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=5972792","Electrostatic discharges;modeling;simulation;overvoltage protection;microwave measurements;thyristors","Thyristors;Electrostatic discharge;Capacitance;Integrated circuit modeling;Metals;Phase measurement;Scattering parameters","electrostatic discharge;high-frequency discharges;thyristors","DTSCR-based protection structure;RF-ESD codesign simulation;Electrostatic discharge protection;integrated circuit;microwave frequencies;silicon controlled rectifier","","1","","6","","4 Aug 2011","","","IEEE","IEEE Conferences"
"A micro-grid simulator tool (SGridSim) using Effective Node-to-Node Complex Impedance (EN2NCI) models","U. Ravishankar; M. Manic; C. Rieger","Computer Science Department, University of Idaho, Idaho Falls, USA; Computer Science Department, University of Idaho, Idaho Falls, USA; Idaho National Laboratory, Idaho Falls, USA","2013 6th International Symposium on Resilient Control Systems (ISRCS)","10 Oct 2013","2013","","","114","119","This paper presents a micro-grid simulator tool useful for implementing and testing multi-agent controllers (SGridSim). As a common engineering practice it is important to have a tool that simplifies the modeling of the salient features of a desired system. In electric micro-grids, these salient features are the voltage and power distributions within the micro-grid. Current simplified electric power grid simulator tools such as PowerWorld, PowerSim, Gridlab, etc, model only the power distribution features of a desired micro-grid. Other power grid simulators such as Simulink, Modelica, etc, use detailed Ordinary Differential Equation (ODE) modeling to accommodate the voltage distribution features. This paper presents a SGridSim micro-grid simulator tool that simplifies the modeling of both the voltage and power distribution features in a desired micro-grid. The SGridSim tool accomplishes this simplified modeling by using Effective Node-to-Node Complex Impedance (EN2NCI) models of components that typically make-up a micro-grid. The term EN2NCI models means that the impedance based components of a micro-grid are modeled as single impedances tied between their respective voltage nodes on the micro-grid. The benefit of the presented SGridSim tool are 1) simulation of a micro-grid is performed strictly in the complex-domain; 2) faster simulation of a micro-grid by avoiding ODE solving. An example micro-grid model was built using the SGridSim tool and tested to simulate both the voltage and power distribution features with a total absolute relative error of less than 6%.","","978-1-4799-0503-4","10.1109/ISRCS.2013.6623761","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=6623761","Computer aided modeling;Simulation;Electric power grids","Load modeling;Solid modeling;Mathematical model;Impedance;Generators;Power transmission lines;Voltage control","differential equations;multi-agent systems;power distribution;power grids;power system control","microgrid simulator tool;SGridSim;effective node-to-node complex impedance models;EN2NCI models;multiagent controllers;electric power grid simulator tools;voltage distribution;power distribution;ODE solving","","1","","20","","10 Oct 2013","","","IEEE","IEEE Conferences"
"A Simplified Subband ANC Algorithm Without Secondary Path Modeling","M. Gao; J. Lu; X. Qiu","Key Laboratory of Modern Acoustics, Institute of Acoustics, Nanjing University, Nanjing, China; Key Laboratory of Modern Acoustics, Institute of Acoustics, Nanjing University, Nanjing, China; School of Engineering of RMIT University, Melbourne, Australia","IEEE/ACM Transactions on Audio, Speech, and Language Processing","20 May 2017","2016","24","7","1164","1174","Active noise control algorithms without secondary path modeling are very appealing because they can effectively overcome the problems caused by imperfect secondary path model. For broadband noise control, subband structures have been adopted in these kinds of algorithms, where the full-band adaptive filter coefficients are obtained from subband filter coefficients with weight transformation. However, the usually used two-direction search method suffers from slow convergence if the secondary path phase is close to ±90°. To deal with this problem, a four-direction search method has been proposed in frequency domain, which is sometimes too complicated for practical applications. In this paper, a simplified algorithm is proposed to reduce the implementation complexity. In the proposed algorithm, the delay of the secondary path is estimated first, and then the estimated delay is used in the delay compensation to reduce the number of subbands. Two reference signals are generated in each subband and two update directions are used. Only one subband reference signal and one update direction are selected to approximate the phase response of the residual secondary path, and then the full-band adaptive controller coefficients are adjusted directly in time domain with them without the need of further weight transformation. Just like those existing subband algorithms, the simplified algorithm can obtain similar steady-state noise reduction performance as that of the FxLMS algorithm but without secondary path modeling. Simulations and experiments are carried out to demonstrate the feasibility of the proposed algorithm.","2329-9304","","10.1109/TASLP.2016.2516439","National Nature Science Foundation of China (NSFC); ","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=7377065","Active noise control;adaptive controller;secondary path modeling;simplified subband algorithm;Active noise control (ANC);adaptive controller;secondary path modeling;simplified subband algorithm","Adaptive filters;Delays;Filtering algorithms;Adaptation models;Finite impulse response filters;Band-pass filters;Least squares approximations","active noise control;adaptive control;delays","subband ANC algorithm;delay compensation;phase response approximation;full-band adaptive controller coefficients;steady-state noise reduction performance;active noise control algorithms","","12","","27","","8 Jan 2016","","","IEEE","IEEE Journals"
"Billboards for Tree Simplification and Real-Time Forest Rendering","G. Bao; X. Zhang; W. Che; M. Jaeger","Sino-French Lab. LIAMA, CAS Inst. of Autom., Beijing, China; Sino-French Lab. LIAMA, CAS Inst. of Autom., Beijing, China; Sino-French Lab. LIAMA, CAS Inst. of Autom., Beijing, China; CIRAD AMAP, INRIA, Montpellier, France","2009 Third International Symposium on Plant Growth Modeling, Simulation, Visualization and Applications","1 Jun 2010","2009","","","433","440","Modeling and rendering of large forest scenes are a challenging task, whose geometric complexity surpasses even the capabilities of current graphics hardware. A tree model simplification tool is developed in this paper to automatically generate both hybrid polygon/image-based tree models for close distance viewing and cross billboards for far distance viewing. In the hybrid model, the foliage of the tree is replaced by a set of arbitrarily oriented billboards while the trunk and branches remains polygon models, so that the 3D perception is enhanced and weak parallax of usual image based approaches is avoided. A fast forest rendering system is also developed. We present techniques in the system for rendering forest consisting of many highly detailed plant models. This forest rendering system allows us to render a large forest scene in real-time. Walk-through and flyover a forest are also simulated, illustrating applications for computer games and interactive visualization of landscapes.","","978-1-4244-6330-5","10.1109/PMA.2009.38","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=5474656","","Rendering (computer graphics);Tree graphs;Layout;Solid modeling;Graphics;Hardware;Hybrid power systems;Real time systems;Computational modeling;Computer simulation","rendering (computer graphics)","billboards;tree simplification;real-time forest rendering;tree model simplification tool;landscapes interactive visualization","","5","","19","","1 Jun 2010","","","IEEE","IEEE Conferences"
"A simulation model of PMLSM based on physical platform","D. Chen; Y. Huang; S. Chen; S. Lu","College of Electrical Engineering and Automation, Fuzhou University, 350108, China; College of Electrical Engineering and Automation, Fuzhou University, 350108, China; College of Electrical Engineering and Automation, Fuzhou University, 350108, China; College of Electrical Engineering and Automation, Fuzhou University, 350108, China","Proceedings of the 33rd Chinese Control Conference","15 Sep 2014","2014","","","6555","6559","The model of permanent magnet linear synchronous motor (PMLSM) is complex, and the ready-made PMLSM block can not be found in Matlab during the process of simulation. A lot of simplified models are not compared with the physical object and can not reflect the actual well, so that a lot of advanced algorithms will not be used in the actual effectively. Based on the physical platform and ignore the disturbance such as the ripple thrust and the friction, a simulation model of PMLSM is built in Matlab/Simulink with the method of vector control in this paper. The model consists of the motor body module, the Pulse Width Modulation module and the control module. The experimental results show that the simulation model built in this paper is effective and has a good practical significance.","1934-1768","978-9-8815-6387-3","10.1109/ChiCC.2014.6896074","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=6896074","PMLSM;physical platform;vector control;simulation model","Mathematical model;Synchronous motors;Permanent magnet motors;Permanent magnets;Equations;MATLAB;Pulse width modulation","linear synchronous motors;machine vector control;permanent magnet motors","permanent magnet linear synchronous motor;PMLSM;Matlab-Simulink simulation;motor body module;pulse width modulation module;control module;physical platform","","","","13","","15 Sep 2014","","","IEEE","IEEE Conferences"
"Metamodeling uncertainty quantification in multi-level engineering system design","R. Xiu; X. Zhang; Y. Liu; H. Huang","School of Mechanical, Electronic, and Industrial Engineering, University of Electronic Science and Technology of China, Chengdu, Sichuan 611731, China; School of Mechanical, Electronic, and Industrial Engineering, University of Electronic Science and Technology of China, Chengdu, Sichuan 611731, China; School of Mechanical, Electronic, and Industrial Engineering, University of Electronic Science and Technology of China, Chengdu, Sichuan 611731, China; School of Mechanical, Electronic, and Industrial Engineering, University of Electronic Science and Technology of China, Chengdu, Sichuan 611731, China","2013 International Conference on Quality, Reliability, Risk, Maintenance, and Safety Engineering (QR2MSE)","10 Oct 2013","2013","","","449","454","Design of complex system often involves a multitude of decision variables and parameters. In order to relieve the computational burden, manage the complexity in design processes, and achieve concurrent analysis and design, a complex system can oftentimes be decomposed into several subsystems with hierarchical relation according to their functional attributes, physical structures, or scale magnitudes etc., and each subsystem can be analyzed and designed independently. In addition, metamodeling techniques are widely used in hierarchical system design and analysis to replace the original time-consuming simulation models, like finite element simulation, molecular dynamics simulation etc., so as to future reduce computational burden. However, due to the limited sample points, metamodeling may contain predictive uncertainty at sites with no sample point. In order to investigate the impact of the metamodeling uncertainty on system performance in multi-level engineering system design, this paper proposes a metamodeling uncertainty quantification method for multi-level engineering system, and derives uncertainty of system performance as a function of metamodel uncertainties of subsystem models. Two numerical examples are used to examine the contribution of the uncertainty of subsystem metamodels to the uncertainty of top-level performance of studied systems.","","978-1-4799-1016-8","10.1109/QR2MSE.2013.6625621","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=6625621","multi-level system;kriging model;metamodeling uncertainty;uncertainty quantification","Uncertainty;Metamodeling;Computational modeling;Analytical models;Predictive models;System analysis and design;Mathematical model","concurrent engineering;decision theory;design engineering;large-scale systems;systems analysis;uncertainty handling","subsystem models;system performance uncertainty;metamodeling uncertainty quantification method;predictive uncertainty;hierarchical system analysis;hierarchical system design;scale magnitudes;physical structures;functional attributes;concurrent design;concurrent analysis;design process complexity management;decision parameters;decision variables;complex system design;multilevel engineering system design","","1","","8","","10 Oct 2013","","","IEEE","IEEE Conferences"
"Simulation models and their metainfo-management using RDF-based paradigms","M. C. Jaeger; M. Lo; R. J. Pefferly","FG Intelligent Distributed Syst., Technische Univ. Berlin, Germany; NA; NA","IEEE International Conference on e-Technology, e-Commerce and e-Service, 2004. EEE '04. 2004","19 Apr 2004","2004","","","60","67","In a catalogue for computer-based models the basic problem is that complex interdependencies between models must be addressed, which are dependent on an application's domain. Thus, when describing and exploiting models, researchers experience the proverbial needle-in-a-haystack routine. What is needed is a system similar to a library's card catalogue, such that metadata is captured in a central location that addresses sufficient model summary information and its interpretation. The goal is to develop such a catalogue system independent from an application domain for managing metadata and providing metainformation (metainfo) about computer-based models. Metainfo is by our view the logical conclusion of metadata. We address the construction of an ontology-based system from an application and architectural point of view. We explain why and how one should construct a RDF(S) based system for supporting collaboration via the Internet and intranets. The innovation of this solution is the integration of existing modelling applications by providing a set of Web service-based APIs with our platform. This enables to process metadata automatically without manual user interaction.","","0-7695-2073-1","10.1109/EEE.2004.1287290","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=1287290","","Application software;Ontologies;Collaboration;Knowledge management;Technological innovation;Intelligent systems;Internet;Project management;Computational modeling;Personnel","meta data;Internet;application program interfaces;intranets","computer-based models;library card catalogue;metadata;ontology-based system;Internet;intranet;Web service-based API;simulation models;metainfo-management;RDF-based paradigm","","","","15","","19 Apr 2004","","","IEEE","IEEE Conferences"
